Part Number	Library Ref	Footprint Ref	Manufacturer	ManufacturerAlt	MPN	MPNAlt	Height	MntType	MSL	Notes	Package	Value	RoHS	TempCoeff	Tolerance	Weight	Voltage	PartType	Pins	BOMDescription	BOMDescriptionRUS	CFootprint	Comment	Rule	ClassName	Library Path	Footprint Path	System	ComponentLink1Description	ComponentLink1URL
C0402 X7R 0,1 мкФ ±10% 50 B	CAPC	CAP0402	Yageo		C0402 X7R 0,1 мкФ ±10% 50 B	C0402 X7R 0,1 uF ±10% 50V		SMD	MSL 1		C0402	0,1мк	Comply	X7R	±10%		50 В	Конденсатор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Capacitor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
C0805 X5R 4,7 мкФ ±10% 25 B	CAPC	CAPC0805N	Yageo		C0805 X5R 4,7 мкФ ±10% 25 B	C0805 X5R 4,7 uF ±10% 25V		SMD	MSL 1		С0805	4,7мк	Comply	X5R	±10%		25 В	Конденсатор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Capacitor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
C0402 NP0 10 пФ ±10% 50 B	CAPC	CAP0402	Yageo		C0402 NP0 10 пФ ±10% 50 B	C0402 NP0 10 pF ±10% 50V		SMD	MSL 1		C0402	10	Comply	NP0	±10%		50 В	Конденсатор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Capacitor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
C1206 X5R 10 мкФ ±10% 25 B	CAPC	CAPC3216N	Yageo		C1206 X5R 10 мкФ ±10% 25 B	C1206 X5R 10 uF ±10% 25V		SMD	MSL 1		C1206	10мк	Comply	X5R	±10%		25 В	Конденсатор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Capacitor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
C0402 X5R 1 мкФ ±10% 10 B	CAPC	CAP0402	Yageo		C0402 X5R 1 мкФ ±10% 10 B	C0402 X5R 1 uF ±10% 50V		SMD	MSL 1		C0402	1мк	Comply	X5R	±10%		10 В	Конденсатор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Capacitor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
C0402 NP0 22 пФ ±10% 50 B	CAPC	CAP0402	Yageo		C0402 NP0 22 пФ ±10% 50 B	C0402 NP0 22 pF ±10% 50V		SMD	MSL 1		C0402	22	Comply	NP0	±10%		50 В	Конденсатор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Capacitor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
293D107X0010B2TE3 100 мкФ ±10% 10 B	Cap TANTAL	TYPEB	Vishey		293D107X0010B2TE3 100 мкФ ±10% 10 B	293D107X0010B2TE3		SMD	MSL 1		Type B	100мк	Comply		±10%		10 В	Конденсатор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Capacitor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
C0402 X7R 0,01 мкФ ±10% 50 B	CAPC	CAP0402	Yageo		C0402 X7R 0,01 мкФ ±10% 50 B	C0402 X7R 10 nF ±10% 50V		SMD	MSL 1		C0402	0,01мк	Comply	X7R	±10%		50 В	Конденсатор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Capacitor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
C0603 X7R 1 мкФ ±10% 25 B	CAPC	CAPC0603N	Yageo		C0603 X7R 1 мкФ ±10% 25 B	C0603 X7R 1 uF ±10% 50V		SMD	MSL 1		C0603	1мк	Comply	X7R	±10%		25 В	Конденсатор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Capacitor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
C0402 NP0 470 пФ ±10% 50 B	CAPC	CAP0402	Yageo		C0402 NP0 470 пФ ±10% 50 B	C0402 NP0 470 pF ±10% 50V		SMD	MSL 1		C0402	470	Comply	NP0	±10%		50 В	Конденсатор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Capacitor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
C1206 X7R 2200 пФ ±20% 2 кB	CAPC	CAPC3216N	Kemet		C1206 X7R 2200 пФ ±20% 2 кB	C1206 X7R 2,2 nF ±20% 2 kV		SMD	MSL 1		C1206	2200	Comply	X7R	±20%		2 кВ	Конденсатор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Capacitor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
T491B106K016AT 10 мкФ ±10% 16 B	Cap TANTAL	TYPEB	Kemet		T491B106K016AT 10 мкФ ±10% 16 B	T491B106K016AT		SMD	MSL 1		Type B	10мк	Comply		±10%		16 В	Конденсатор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Capacitor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
